Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,1036.0,16.0,103.0,3361.0,0.1,37.00700000000006,0.0,0.0,565.2587530612946,,,,,,,,,,,,,,,,,,,,,13.0406927256098,8.81660672593248,35.73524340082043,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1075.0,17.0,39.0,3400.0,0.1,20.30700000000002,0.0,0.0,569.2660465240479,,,,,,,,,,,,,,,,,,,,,6.325247665966405,6.836664794149105,20.100496232997077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1463.0,18.0,388.0,3788.0,0.1,217.50499999999963,0.0,0.0,604.1938676834106,,,,,,,,,,,,,,,,,,,,,94.53053630324582,47.74179158805728,181.18934942383885,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1523.0,19.0,60.0,3848.0,0.1,35.306999999999995,0.0,0.0,610.1541240215302,,,,,,,,,,,,,,,,,,,,,12.837650415897079,11.281872553544126,34.605918205539055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1579.0,20.0,56.0,3904.0,0.1,27.80800000000003,0.0,0.0,615.8663816452026,,,,,,,,,,,,,,,,,,,,,8.369523884087595,8.894095634014757,27.394067403230153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,38.0,1.0,38.0,3942.0,0.1,15.207999999999991,0.0,0.0,991.6537523269653,,,,,,,,,,,,,,,,,,,,,4.005166804787459,4.919705987138358,15.085960496450486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,90.0,2.0,52.0,3994.0,0.1,31.405000000000012,0.0,0.0,996.8550276756287,,,,,,,,,,,,,,,,,,,,,12.68415636377048,9.630106734412497,30.807007076229322,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,118.0,3.0,28.0,4022.0,0.1,15.004999999999995,0.0,0.0,999.8670246601105,,,,,,,,,,,,,,,,,,,,,4.99498166686592,5.205412727161997,14.89491544931093,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,206.0,4.0,88.0,4110.0,0.1,70.70599999999999,0.0,0.0,1008.5716207027435,,,,,,,,,,,,,,,,,,,,,29.062666204019873,22.49517194172788,68.28498706318555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,431.0,5.0,225.0,4335.0,0.1,140.21799999999988,0.0,0.0,1028.8475484848022,,,,,,,,,,,,,,,,,,,,,57.30307659991584,35.701583685366266,127.57983986490893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
